TABLA 92.  INDICE DE PRECIOS AL CONSUMIDOR. SUBGRUPOS DEL GRUPO DE GASTO DE ALIMENTOS. 1995 - 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Años,   Ene,   Feb,  Mar,  Abr,  May,  Jun,  Jul, Ago,Sept, Oct,Nov,Dic
,,,,,,,,,,,,
CEREALES Y PRODUCTOS DE PANADERIA,,,,,,,,,,,,
1996,61.52612570326151,62.46421862330007,62.80925018158649,63.290575344747644,63.641746254605,64.78857712805528,66.8182467574057,67.46410654266785,68.52621436443926,69.60060088935252,70.1605097526216,70.51290853279315
1997,33.24908549541606,33.59292834806835,34.378525753458135,34.95159717454527,36.118474259090526,36.632798660126504,36.90522356683426,36.52682364356366,37.31126914659952,37.60039663743945,38.59794407595494,39.070224041071974
1998,39.53331261653315,40.519049600690245,41.09622035487521,41.54053165902081,42.25437643769318,43.47899101926052,44.898811706201506,45.39261060844573,46.023705834101136,46.911312485485816,47.03306896939368,46.90651531497725
1999,48.011616,49.318589,49.643571,49.742411,49.860813,49.834102,49.933518,50.053007,50.311259,50.782335,51.369324,51.962971
2000,52.669069,52.850488,52.980158,53.38095,53.901051,54.898223,55.465492,56.193308,56.759922,57.445059,58.688624,59.045253
2001,59.393678,60.293199,60.859236,61.167791,61.348519,61.254724,61.789563,62.119882,62.587605,62.900096,63.078139,64.089403
2002,64.449164,65.060466,65.719944,66.095167,67.132515,67.262828,67.244527,67.293914,67.338594,67.546518,67.861366,68.307699
2003,70.081697,71.408166,72.111884,72.418724,72.845675,72.753646,72.53314,72.55762,72.62122,72.911287,73.338197,73.676099
2004,74.217288,74.439288,74.483097,74.724124,75.248584,75.987631,76.194208,76.458719,76.773316,76.843504,76.925827,77.231355
2005,78.076665,79.038834,80.033608,80.321995,80.964069,81.268431,81.28315,81.348543,81.424378,80.774248,80.657179,80.954641
2006,81.775108,82.41623,82.890365,83.957458,85.50626,86.219798,86.843544,87.977854,88.396146,88.696718,88.896879,89.667954
2007,91.631058,93.195621,93.841837,94.409653,94.99673,95.511631,95.757233,95.651319,95.313081,95.155447,95.465003,95.812402
2008,96.172136,96.460775,96.194565,96.428548,96.285385,96.459519,96.681373,96.850338,96.923388,97.526287,98.518193,100
2009,101.003435,101.256597,101.56266,101.988988,102.339196,104.150259,104.690102,104.852203,104.543177,104.34063,104.376655,104.912755
2010,106.103974,107.496081,108.018516,108.966313,109.901397,110.499983,110.815055,111.68038,111.847226,111.76818,112.142335,113.23753
2011,114.757852,115.101337,115.071738,115.076467,115.61266,115.632524,115.657812,116.630721,117.743945,118.380663,119.194988,120.086334
2012,120.740261,121.011857,121.126463,121.671775,122.649741,123.242662,122.956172,123.141344,122.748751,122.119618,121.16362,121.554704
2013,121.7,120.9,120.84,121.49,121.61,121.78,121.49,121.33,121.51,120.79,120.44,120.64
2014,121.01,121.03,120.96,120.61,121.37,121.7,121.47,121.82,122.1,122.18,122.29,122.63
2015,123.05,123.39,123.51,124.64,126.19,126.98,127.33,128.11,129.09,129.47,131.07,131.96
2016,133.85,136.63,137.44,139.24,139.93,141.5,142.55,143.94,145.61,146.16,147.76,150.61
